# Annual means for HCFC124
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: HCFC124_annual_means.csv
# Generated on: 2026-05-18 11:05:59
#
year,HN,LN,LS,HS,Global
2013,NaN,NaN,NaN,NaN,NaN
2014,NaN,NaN,NaN,NaN,NaN
2015,1.210,1.171,1.055,1.078,1.129
2016,1.162,1.116,1.033,1.037,1.087
2017,1.107,1.040,0.997,0.996,1.035
2018,1.033,0.990,0.914,0.925,0.965
2019,0.995,0.956,0.882,0.899,0.933
2020,0.986,0.938,0.847,0.856,0.907
2021,0.968,0.927,0.851,0.845,0.898
2022,0.963,0.925,0.829,0.833,0.887
2023,0.949,0.915,0.818,0.820,0.876
2024,0.917,0.879,0.810,0.829,0.859
2025,NaN,NaN,NaN,NaN,NaN
