# Annual means for H1211
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: H1211_annual_means.csv
# Generated on: 2025-07-01 15:37:09
#
year,HN,LN,LS,HS,Global
1991,2.983,2.932,2.655,2.680,2.813
1992,3.170,3.112,2.866,2.819,2.992
1993,3.308,3.289,3.095,3.019,3.178
1994,3.549,3.499,3.261,3.205,3.379
1995,3.695,3.644,3.430,3.371,3.535
1996,3.870,3.828,3.597,3.514,3.702
1997,3.996,3.976,3.700,3.660,3.833
1998,4.107,4.087,3.861,3.774,3.957
1999,4.194,4.182,3.982,3.899,4.064
2000,4.297,4.254,4.064,3.996,4.153
2001,4.346,4.313,4.126,4.070,4.214
2002,4.403,4.360,4.165,4.122,4.263
2003,4.427,4.387,4.198,4.153,4.291
2004,4.443,4.400,4.230,4.174,4.312
2005,4.432,4.393,4.252,4.186,4.316
2006,4.398,4.365,4.226,4.170,4.290
2007,4.341,4.289,4.192,4.123,4.236
2008,4.257,4.214,4.114,4.075,4.165
2009,4.188,4.166,4.055,4.032,4.110
2010,4.105,4.082,3.987,3.961,4.034
2011,4.028,4.002,3.921,3.904,3.964
2012,3.922,3.896,3.829,3.813,3.865
2013,3.811,3.789,3.723,3.709,3.758
2014,3.712,3.693,3.622,3.619,3.662
2015,3.607,3.586,3.524,3.519,3.559
2016,3.502,3.484,3.427,3.415,3.457
2017,3.407,3.389,3.334,3.321,3.363
2018,3.312,3.294,3.237,3.226,3.267
2019,3.206,3.187,3.138,3.126,3.164
2020,3.114,3.096,3.047,3.033,3.072
2021,3.020,2.999,2.956,2.947,2.981
2022,2.925,2.908,2.867,2.862,2.891
2023,2.830,2.815,2.776,2.775,2.799
2024,2.745,2.731,2.705,2.705,2.721
