# Annual means for CFC113
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CFC113_annual_means.csv
# Generated on: 2026-06-11 11:42:46
#
year,HN,LN,LS,HS,Global
1991,NaN,NaN,NaN,NaN,NaN
1992,NaN,NaN,NaN,NaN,NaN
1993,84.301,82.915,81.126,80.324,82.167
1994,84.637,84.455,82.952,82.972,83.754
1995,84.701,84.375,83.207,83.125,83.852
1996,84.441,84.272,83.539,83.385,83.909
1997,83.878,83.710,82.934,82.976,83.374
1998,83.003,82.931,82.458,82.411,82.701
1999,82.373,82.356,82.118,81.849,82.174
2000,81.836,81.891,81.655,81.643,81.756
2001,81.604,81.587,81.272,81.169,81.408
2002,80.899,80.901,80.712,80.565,80.769
2003,80.164,80.143,79.999,79.891,80.049
2004,79.336,79.301,79.209,79.169,79.254
2005,78.749,78.734,78.662,78.754,78.725
2006,78.162,78.198,78.113,78.081,78.138
2007,77.336,77.398,77.243,77.185,77.291
2008,76.396,76.392,76.295,76.294,76.344
2009,75.905,75.860,75.773,75.813,75.838
2010,75.268,75.294,75.330,75.202,75.274
2011,74.547,74.572,74.592,74.483,74.549
2012,73.831,73.909,73.857,73.802,73.850
2013,73.122,73.187,73.194,73.048,73.138
2014,72.550,72.589,72.552,72.437,72.532
2015,71.950,71.930,71.967,71.839,71.922
2016,71.331,71.363,71.367,71.198,71.314
2017,70.664,70.721,70.726,70.553,70.666
2018,70.046,70.136,70.186,69.962,70.083
2019,69.346,69.418,69.465,69.229,69.365
2020,68.727,68.760,68.751,68.536,68.694
2021,68.075,68.122,68.224,67.969,68.098
2022,67.486,67.534,67.632,67.377,67.507
2023,66.824,66.934,67.036,66.840,66.908
2024,66.297,66.373,66.345,66.324,66.335
2025,65.680,65.730,65.795,65.591,65.699
