# Annual means for CFC11
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CFC11_annual_means.csv
# Generated on: 2026-06-17 14:11:11
#
year,HN,LN,LS,HS,Global
1977,NaN,NaN,NaN,NaN,NaN
1978,159.322,152.414,143.778,150.341,151.464
1979,166.094,162.289,153.476,156.900,159.690
1980,175.730,171.656,161.943,164.218,168.387
1981,182.649,179.441,171.122,170.122,175.833
1982,190.776,186.174,180.049,177.278,183.569
1983,200.223,196.312,188.274,185.651,192.615
1984,207.916,204.730,196.937,195.578,201.290
1985,219.185,216.236,208.565,207.105,212.773
1986,229.480,226.946,218.244,217.637,223.077
1987,242.352,237.606,228.056,227.534,233.887
1988,254.465,250.609,237.623,234.725,244.355
1989,262.315,258.965,246.601,244.726,253.152
1990,266.664,263.488,254.224,253.323,259.425
1991,269.072,265.815,259.963,260.501,263.838
1992,271.783,268.403,263.319,263.514,266.755
1993,272.427,269.459,265.664,264.396,267.987
1994,271.186,269.402,266.094,265.361,268.011
1995,270.247,268.838,265.662,265.313,267.515
1996,267.248,266.513,264.269,262.955,265.246
1997,265.590,265.240,263.374,262.105,264.077
1998,264.009,263.740,261.598,260.848,262.549
1999,262.115,262.305,260.419,259.660,261.124
2000,260.767,260.465,258.296,257.753,259.320
2001,259.126,258.597,256.866,255.972,257.640
2002,257.169,256.565,255.150,254.301,255.796
2003,254.615,254.213,252.614,252.011,253.364
2004,252.318,252.122,251.080,249.874,251.348
2005,250.398,250.214,248.822,247.646,249.270
2006,248.182,248.075,247.048,245.729,247.258
2007,245.958,245.818,244.818,243.376,244.992
2008,243.944,243.853,242.746,241.322,242.966
2009,241.997,242.051,240.805,239.569,241.106
2010,240.191,240.160,238.729,237.898,239.245
2011,238.240,237.964,236.629,235.848,237.170
2012,236.150,236.057,234.604,233.936,235.187
2013,234.708,234.527,232.897,231.926,233.514
2014,233.733,233.429,231.064,230.296,232.131
2015,232.514,232.173,229.849,229.225,230.940
2016,231.527,231.207,229.092,227.942,229.942
2017,230.645,230.343,227.982,226.929,228.975
2018,229.525,229.424,227.398,226.440,228.197
2019,227.547,227.489,225.741,224.880,226.414
2020,224.834,224.692,223.513,222.757,223.949
2021,222.251,222.245,221.354,220.911,221.690
2022,220.015,219.973,219.142,218.846,219.494
2023,217.552,217.636,216.881,216.548,217.154
2024,214.895,214.954,214.247,213.923,214.505
2025,212.079,212.150,211.428,210.894,211.637
