# Annual means for HCFC141b
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: HCFC141b_annual_means.csv
# Generated on: 2025-07-07 13:16:29
#
year,HN,LN,LS,HS,Global
1992,0.570,0.410,NaN,0.210,NaN
1993,1.308,0.922,0.541,0.391,0.790
1994,2.828,2.382,1.544,1.138,1.973
1995,4.918,4.003,2.772,2.355,3.512
1996,7.077,6.248,4.563,3.964,5.463
1997,9.115,8.457,6.284,5.749,7.401
1998,11.013,10.248,7.853,7.392,9.127
1999,12.884,12.072,9.864,9.148,10.992
2000,14.731,13.640,11.537,10.885,12.698
2001,16.187,15.193,12.993,12.353,14.181
2002,17.714,16.456,14.277,13.816,15.566
2003,18.630,17.653,15.431,14.966,16.670
2004,18.871,18.134,16.236,15.793,17.258
2005,18.962,18.313,16.811,16.370,17.614
2006,19.498,18.917,17.359,16.840,18.153
2007,20.196,19.665,18.041,17.400,18.826
2008,20.738,20.083,18.415,18.044,19.320
2009,21.173,20.734,19.014,18.651,19.893
2010,21.863,21.464,19.441,19.032,20.450
2011,22.979,22.426,20.242,19.867,21.378
2012,23.986,23.358,21.158,20.749,22.313
2013,24.877,24.366,22.202,21.700,23.286
2014,25.397,24.842,22.732,22.369,23.835
2015,25.715,25.198,23.386,22.856,24.289
2016,25.986,25.520,23.564,23.246,24.579
2017,25.892,25.296,23.613,23.404,24.551
2018,25.639,25.141,23.554,23.323,24.414
2019,25.857,25.304,23.386,23.178,24.431
2020,26.104,25.433,23.531,23.218,24.571
2021,26.147,25.568,23.584,23.318,24.654
2022,26.148,25.408,23.654,23.424,24.658
2023,26.045,25.442,23.531,23.300,24.580
2024,25.970,25.427,23.392,23.167,24.489
