# Annual means for CFC113
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CFC113_annual_means.csv
# Generated on: 2026-06-12 11:23:10
#
year,HN,LN,LS,HS,Global
1992,NaN,NaN,NaN,NaN,NaN
1993,84.197,83.039,80.767,80.613,82.154
1994,84.782,84.202,82.938,82.759,83.670
1995,84.712,84.260,83.173,83.120,83.817
1996,84.598,84.342,83.529,83.286,83.939
1997,84.063,83.819,83.126,83.100,83.527
1998,83.309,83.110,82.569,82.642,82.907
1999,82.743,82.503,82.421,82.074,82.435
2000,82.199,82.049,81.711,81.739,81.924
2001,81.723,81.560,81.434,81.173,81.472
2002,80.981,80.899,80.822,80.581,80.821
2003,80.192,80.176,80.113,79.924,80.101
2004,79.431,79.415,79.383,79.183,79.353
2005,78.815,78.858,78.656,78.628,78.739
2006,78.161,78.211,78.138,78.080,78.148
2007,77.335,77.387,77.183,77.208,77.278
2008,76.480,76.513,76.406,76.381,76.445
2009,75.936,75.889,75.806,75.744,75.844
2010,75.209,75.306,75.147,75.172,75.208
2011,74.534,74.619,74.395,74.388,74.484
2012,73.848,73.916,73.673,73.692,73.782
2013,73.122,73.189,73.108,72.981,73.100
2014,72.519,72.603,72.431,72.401,72.489
2015,71.952,71.962,71.794,71.856,71.891
2016,71.356,71.361,71.293,71.182,71.298
2017,70.665,70.721,70.718,70.557,70.665
2018,70.044,70.138,70.149,69.962,70.073
2019,69.348,69.417,69.467,69.231,69.366
2020,68.726,68.760,68.754,68.535,68.694
2021,68.076,68.120,68.219,67.969,68.096
2022,67.485,67.521,67.637,67.384,67.507
2023,66.826,66.918,67.045,66.842,66.908
2024,66.297,66.391,66.341,66.324,66.338
2025,65.683,65.737,65.781,65.570,65.693
