# Annual means for CFC12
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Annual means computed from Jan 1 to Dec 31.
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: CFC12_annual_means.csv
# Generated on: 2026-06-17 14:11:12
#
year,HN,LN,LS,HS,Global
1977,NaN,NaN,NaN,NaN,NaN
1978,284.436,281.974,259.325,252.815,269.637
1979,296.270,299.017,276.388,270.712,285.597
1980,313.795,313.615,290.357,288.417,301.546
1981,328.743,330.563,310.156,304.054,318.379
1982,346.098,341.544,327.918,321.924,334.371
1983,364.100,357.708,345.388,339.643,351.710
1984,376.731,371.679,361.594,357.058,366.765
1985,393.527,387.506,377.353,374.744,383.283
1986,411.680,408.236,396.172,392.256,402.086
1987,432.896,428.768,416.736,413.675,423.019
1988,465.129,451.255,438.351,431.169,446.476
1989,481.346,472.873,457.207,452.142,465.892
1990,495.393,486.107,473.108,471.207,481.454
1991,505.889,496.104,487.455,485.120,493.642
1992,517.645,506.472,500.501,498.896,505.878
1993,522.087,513.177,508.393,504.262,511.980
1994,524.296,519.387,514.784,508.017,516.621
1995,528.558,524.577,520.758,511.774,521.417
1996,535.242,532.769,527.597,524.112,529.930
1997,537.803,536.514,531.901,529.052,533.818
1998,540.531,539.339,534.401,532.046,536.579
1999,542.424,541.670,537.859,535.713,539.416
2000,544.603,544.085,539.604,538.218,541.628
2001,545.356,544.308,540.926,539.078,542.417
2002,545.974,544.903,541.489,540.391,543.189
2003,544.996,544.386,541.449,540.199,542.758
2004,544.179,543.866,541.536,540.011,542.398
2005,543.180,543.272,540.716,539.110,541.570
2006,541.361,541.578,539.360,538.269,540.142
2007,539.032,539.270,537.644,535.699,537.911
2008,536.322,536.666,535.358,533.793,535.535
2009,533.670,534.196,533.095,531.029,532.998
2010,530.333,530.671,529.427,528.007,529.609
2011,527.619,527.797,526.815,525.507,526.934
2012,524.759,525.210,523.977,522.971,524.229
2013,521.430,521.820,520.616,519.969,520.959
2014,519.203,519.392,517.547,517.516,518.415
2015,516.325,516.505,514.532,514.798,515.540
2016,512.822,513.157,512.053,511.379,512.353
2017,508.912,509.380,508.353,507.997,508.661
2018,505.613,506.320,505.395,505.330,505.665
2019,501.359,502.056,501.215,500.806,501.359
2020,497.420,497.964,497.140,496.318,497.211
2021,493.208,493.901,493.403,492.839,493.338
2022,489.526,489.989,489.985,489.187,489.672
2023,485.152,485.659,485.715,485.455,485.495
2024,481.068,481.378,481.713,481.673,481.458
2025,476.783,477.030,477.270,476.738,476.955
