# Annual means for HFC134a
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: HFC134a_annual_means.csv
# Generated on: 2025-07-28 10:54:07
#
year,HN,LN,LS,HS,Global
1994,NaN,NaN,NaN,NaN,NaN
1995,2.444,1.920,1.238,1.054,1.664
1996,4.073,3.610,2.497,2.120,3.075
1997,6.790,6.297,3.966,3.839,5.223
1998,9.579,8.868,6.403,5.889,7.685
1999,12.936,12.035,9.403,8.469,10.711
2000,16.675,15.391,12.466,11.568,14.025
2001,20.590,19.154,15.785,14.797,17.582
2002,25.562,23.133,19.412,18.416,21.631
2003,29.745,27.577,23.227,22.121,25.667
2004,34.064,31.910,27.342,26.171,29.872
2005,39.452,36.760,32.038,30.600,34.712
2006,43.869,41.316,36.400,34.913,39.125
2007,48.284,45.813,40.785,39.156,43.510
2008,53.003,50.097,44.913,43.611,47.906
2009,57.859,55.013,49.497,47.905,52.569
2010,62.888,60.456,54.145,52.574,57.516
2011,68.739,65.765,59.375,57.883,62.941
2012,73.532,70.528,64.357,62.755,67.793
2013,78.553,75.633,69.316,67.469,72.743
2014,84.076,81.167,74.162,72.600,78.001
2015,90.085,87.278,79.336,77.868,83.642
2016,96.336,93.619,85.631,83.572,89.789
2017,103.158,99.770,91.713,89.562,96.051
2018,109.200,105.899,98.121,95.932,102.288
2019,115.664,111.936,103.574,101.435,108.152
2020,120.681,117.070,109.246,106.957,113.488
2021,126.512,123.040,114.591,112.568,119.178
2022,132.060,128.099,120.252,118.245,124.664
2023,137.244,133.527,125.008,123.138,129.729
2024,142.333,139.218,129.876,128.173,134.900
