# Annual means for HFC125
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: HFC125_annual_means.csv
# Generated on: 2025-07-28 10:54:04
#
year,HN,LN,LS,HS,Global
2007,NaN,NaN,NaN,NaN,NaN
2008,6.836,6.377,5.589,5.297,6.025
2009,7.906,7.440,6.551,6.250,7.037
2010,9.211,8.640,7.533,7.236,8.155
2011,10.615,10.031,8.882,8.423,9.487
2012,12.458,11.753,10.366,9.924,11.125
2013,14.387,13.465,12.019,11.478,12.837
2014,16.527,15.448,13.779,13.325,14.770
2015,18.309,17.737,15.532,15.149,16.682
2016,20.709,20.088,17.903,17.329,19.007
2017,23.497,22.497,20.593,19.767,21.588
2018,26.518,25.330,23.434,22.401,24.421
2019,29.667,28.643,26.273,25.284,27.467
2020,33.091,31.775,29.315,28.409,30.647
2021,36.352,35.022,32.761,31.544,33.920
2022,40.231,38.787,36.029,35.096,37.536
2023,44.362,42.978,40.014,38.947,41.575
2024,48.490,46.943,43.744,42.512,45.422
2025,NaN,NaN,NaN,NaN,NaN
