# Annual means for H1211
# Calculated from NOAA/GML data.
# Flask pair means, in situ hourly data, and monthly means available through GML's website.
# https://gml.noaa.gov/hats/data.html
#
# Contact:
#   Stephen Montzka: Stephen.Montzka@noaa.gov
#   Isaac Vimont: Isaac.Vimont@noaa.gov
#   Geoff Dutton: Geoff.Dutton@noaa.gov
#
# Semi-hemispheric means:
#   HN: lat ≥ 30°N
#   LN: 0° ≤ lat < 30°N
#   LS: −30° < lat < 0°
#   HS: lat ≤ −30°N
# Global mean: average of the four semi-hemispheric means
# Data format:
#   year, HN, LN, LS, HS, Global
#
# Data source: NOAA Global Monitoring Laboratory
#   https://gml.noaa.gov/hats/data.html
#
# Data file: H1211_annual_means.csv
# Generated on: 2025-07-07 13:16:33
#
year,HN,LN,LS,HS,Global
1991,2.875,3.004,2.472,2.659,2.752
1992,3.041,2.979,2.749,2.734,2.876
1993,3.246,3.179,2.984,2.908,3.079
1994,3.448,3.438,3.190,3.133,3.302
1995,3.615,3.561,3.336,3.282,3.449
1996,3.786,3.733,3.506,3.444,3.617
1997,3.936,3.907,3.672,3.595,3.778
1998,4.048,4.034,3.764,3.711,3.890
1999,4.153,4.138,3.923,3.836,4.012
2000,4.247,4.222,4.031,3.955,4.114
2001,4.326,4.288,4.098,4.030,4.185
2002,4.377,4.334,4.149,4.106,4.241
2003,4.420,4.377,4.182,4.138,4.279
2004,4.434,4.403,4.213,4.163,4.303
2005,4.443,4.394,4.244,4.183,4.316
2006,4.417,4.379,4.241,4.183,4.305
2007,4.374,4.335,4.221,4.145,4.269
2008,4.301,4.253,4.153,4.095,4.200
2009,4.221,4.188,4.085,4.061,4.139
2010,4.145,4.124,4.021,3.995,4.071
2011,4.071,4.045,3.953,3.933,4.000
2012,3.975,3.952,3.878,3.865,3.917
2013,3.865,3.840,3.777,3.758,3.810
2014,3.765,3.744,3.672,3.665,3.711
2015,3.657,3.635,3.568,3.567,3.607
2016,3.556,3.539,3.477,3.470,3.510
2017,3.454,3.434,3.379,3.366,3.408
2018,3.357,3.343,3.291,3.275,3.316
2019,3.262,3.243,3.187,3.177,3.217
2020,3.159,3.137,3.089,3.076,3.115
2021,3.067,3.051,3.001,2.990,3.027
2022,2.974,2.953,2.913,2.904,2.936
2023,2.875,2.860,2.822,2.819,2.844
2024,2.781,2.765,2.729,2.726,2.750
